"Illusion_Type","RT","Stimulus","Response","Correct_response","Trial_index","Prestimulus_duration","Correct","Illusion_Strength","Illusion_Difference","Block_number","Trial_number","Block_Accuracy","Block_RT_Mean","Block_RT_Mean_Corr","Block_IES","Fullscreen","Participant","Experiment_version","Datetime","Date","Time","Date_timezone","Window_width","Window_height","Window_resolution","Screen_width","Screen_height","Screen_resolution","Screen_colordepth","Screen_pixeldepth","Screen_touchscreen","Browser_name","Browser_codename","Browser_engine","Browser_version","Browser","System_platform","System_language","Duration_Consent","Age","Initials","Duration_InfoGeneral","PlayedBefore","Duration_InfoSession","Grand_Accuracy","Grand_RT_Mean","Grand_RT_Mean_Corr","Grand_IES"
"Delboeuf",642.770000002201,"stimuli/Delboeuf_str-0.33_diff-1.0.png","arrowleft","arrowright",7,2495,0,-0.333333333333333,-1,1,1,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",36.1249999987194,"stimuli/Delboeuf_str-0.33_diff1.0.png","arrowright","arrowleft",9,413,0,-0.333333333333333,1,1,2,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",15.7350000008591,"stimuli/Delboeuf_str-1.0_diff-0.33.png","arrowleft","arrowright",11,254,0,-1,-0.333333333333333,1,3,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",12.3250000033295,"stimuli/Delboeuf_str0.33_diff0.33.png","arrowright","arrowleft",13,431,0,0.333333333333333,0.333333333333333,1,4,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",48.0449999995471,"stimuli/Delboeuf_str1.0_diff1.0.png","arrowright","arrowleft",15,325,0,1,1,1,5,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",14.2699999996694,"stimuli/Delboeuf_str1.0_diff-1.0.png","arrowleft","arrowright",17,425,0,1,-1,1,6,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",14.3900000002759,"stimuli/Delboeuf_str-1.0_diff0.33.png","arrowright","arrowleft",19,464,0,-1,0.333333333333333,1,7,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",1.76999999894178,"stimuli/Delboeuf_str-0.33_diff-0.33.png","arrowleft","arrowright",21,268,0,-0.333333333333333,-0.333333333333333,1,8,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",7.87999999738531,"stimuli/Delboeuf_str1.0_diff0.33.png","arrowright","arrowleft",23,498,0,1,0.333333333333333,1,9,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",55.5750000021362,"stimuli/Delboeuf_str-0.33_diff0.33.png","arrowright","arrowleft",25,332,0,-0.333333333333333,0.333333333333333,1,10,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",62.965000000986,"stimuli/Delboeuf_str-1.0_diff1.0.png","arrowright","arrowleft",27,323,0,-1,1,1,11,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",121.190000001661,"stimuli/Delboeuf_str0.33_diff-1.0.png","arrowright","arrowright",29,296,1,0.333333333333333,-1,1,12,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",93.8099999984843,"stimuli/Delboeuf_str0.33_diff1.0.png","arrowright","arrowleft",31,321,0,0.333333333333333,1,1,13,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",3.98000000132015,"stimuli/Delboeuf_str1.0_diff-0.33.png","arrowleft","arrowright",33,470,0,1,-0.333333333333333,1,14,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",33.4900000016205,"stimuli/Delboeuf_str0.33_diff-0.33.png","arrowright","arrowright",35,482,1,0.333333333333333,-0.333333333333333,1,15,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Delboeuf",51.7650000001595,"stimuli/Delboeuf_str-1.0_diff-1.0.png","arrowleft","arrowright",37,415,0,-1,-1,1,16,0.125,76.0053125004561,77.3400000016409,618.720000013127,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",861.649999998917,"stimuli/Ebbinghaus_str0.33_diff-1.0.png","arrowleft","arrowright",42,2462,0,0.333333333333333,-1,2,1,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",31.9899999994959,"stimuli/Ebbinghaus_str0.33_diff1.0.png","arrowleft","arrowleft",44,409,1,0.333333333333333,1,2,2,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",54.309999999532,"stimuli/Ebbinghaus_str-1.0_diff0.33.png","arrowright","arrowleft",46,495,0,-1,0.333333333333333,2,3,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",83.6850000014238,"stimuli/Ebbinghaus_str1.0_diff0.33.png","arrowright","arrowleft",48,321,0,1,0.333333333333333,2,4,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",11.8800000018382,"stimuli/Ebbinghaus_str-0.33_diff-1.0.png","arrowleft","arrowright",50,265,0,-0.333333333333333,-1,2,5,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",83.0999999998312,"stimuli/Ebbinghaus_str-1.0_diff-1.0.png","arrowright","arrowright",52,291,1,-1,-1,2,6,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",19.0700000021025,"stimuli/Ebbinghaus_str0.33_diff-0.33.png","arrowleft","arrowright",54,474,0,0.333333333333333,-0.333333333333333,2,7,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",55.1500000001397,"stimuli/Ebbinghaus_str-0.33_diff-0.33.png","arrowright","arrowright",56,286,1,-0.333333333333333,-0.333333333333333,2,8,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",101.839999999356,"stimuli/Ebbinghaus_str-0.33_diff0.33.png","arrowright","arrowleft",58,345,0,-0.333333333333333,0.333333333333333,2,9,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",0.974999999016291,"stimuli/Ebbinghaus_str-0.33_diff1.0.png","arrowleft","arrowleft",60,257,1,-0.333333333333333,1,2,10,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",74.9049999976705,"stimuli/Ebbinghaus_str-1.0_diff-0.33.png","arrowright","arrowright",62,499,1,-1,-0.333333333333333,2,11,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
"Ebbinghaus",82.6649999980873,"stimuli/Ebbinghaus_str1.0_diff-0.33.png","arrowright","arrowright",64,365,1,1,-0.333333333333333,2,12,0.5,102.000312499968,43.057499999577,86.114999999154,"Yes","20210311_172844_tlja7","0.0.1","11/03/2021 17:28:44","20210311","172844",8,1536,722,"1536x722",1536,864,"1536x864",24,24,FALSE,"Netscape","Mozilla","Gecko","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36","Win32","en-US",3195.51499999943,"767","kjrfrljtrlg",5602.45000000214,"Yes",4052.93499999971,0.34375,121.194687500179,137.333181818163,399.514710743746
