"Participant","Age","Sex","Education","Nationality","Ethnicity","Date","Time","Duration","Break_Duration","Screen_Resolution","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Illusion_Type","Block","Block_Order","Trial","Stimulus","Illusion_Strength","Illusion_Side","Illusion_Difference","Answer","Error","ISI","RT","Study"
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,1,"MullerLyer_str-50.0_diff-0.2",-50,"-1",0.2,"arrowdown",0,591,1207,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,2,"MullerLyer_str0.0_diff-0.2",0,"-1",0.2,"arrowdown",0,847,1099,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,3,"MullerLyer_str50.0_diff-0.2",50,"-1",0.2,"arrowup",1,909,3266,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,4,"MullerLyer_str-50.0_diff0.2",-50,"1",0.2,"arrowup",0,849,1554,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,5,"MullerLyer_str-16.67_diff-0.05",-16.6666666666667,"-1",0.05,"arrowdown",0,718,956,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,6,"MullerLyer_str0.0_diff0.05",0,"1",0.05,"arrowup",0,318,1473,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,7,"MullerLyer_str-16.67_diff-0.2",-16.6666666666667,"-1",0.2,"arrowdown",0,755,1203,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,8,"MullerLyer_str16.67_diff-0.2",16.6666666666667,"-1",0.2,"arrowdown",0,830,3464,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,9,"MullerLyer_str33.33_diff0.5",33.3333333333333,"1",0.5,"arrowup",0,255,2266,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,10,"MullerLyer_str16.67_diff-0.5",16.6666666666667,"-1",0.5,"arrowdown",0,380,1001,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,11,"MullerLyer_str33.33_diff0.35",33.3333333333333,"1",0.35,"arrowup",0,666,1556,1
"5bce155e561901000121006f_49472",29,"Female","Master","UK","Caucasian","31/07/2022","08:28:21",39.1869333333333,0.4056,"1920x927",59.35,"firefox","102.0.0","Desktop","Windows 10","Müller-Lyer",1,1,12,"MullerLyer_str-33.33_diff0.35",-33.3333333333333,"1",0.35,"arrowup",0,519,811,1
