"Participant","Age","Sex","Ethnicity","Education","Nationality","Duration","Break_Duration","Device_OS","Screen_Resolution","Screen_Size","Screen_Refresh","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","IPIP6_SD","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism","PID5_SD","Delboeuf","Ebbinghaus","RodFrame","VerticalHorizontal","Zollner","White","MullerLyer","Ponzo","Poggendorff","Contrast","i"
"S01",36,"Female","Caucasian","Bachelor","Canada",52.6668833333333,0.0391166666666667,"Windows 10","1464x673",0.985272,"60.05",25.5,24.25,75.25,76.5,98.5,82.25,17.6053930235631,1.4,37.4,73.4,0.6,34,12.0560799883759,-1.77740322213631,0.218294925438315,0.319859114436503,-0.201450491316142,0.567234147778576,1.59793987826822,0.514498167531991,0.162288527322448,-0.0970646115312856,-0.816019018262893,0.0461544896962509
"S02",21,"Male","Caucasian","High School","Greece",48.6031,0.0361333333333333,"Windows 10","2560x1297",3.32032,"144.82",61,53.5,50.75,75.5,40,60.5,12.5752812882267,45.6,28.6,49.6,46,59,10.4317122166155,-0.588602225264168,-0.444113095132382,-0.464782258008147,-0.093558894105165,0.684799467752652,-0.276486635229998,-0.17296787178986,-0.00919166558174811,-1.56479919721639,0.167962816100791,-0.0619945247808699
"S03",31,"Male","Caucasian","Bachelor","Chile",42.0942166666667,0.0156666666666667,"Windows 10","1270x926",1.17602,"121.21",48.5,77.25,23.75,96.25,58.5,51,25.0812098040025,41.4,35,1.8,24.8,13,24.1785024160775,0.171757984053772,0.0683529067996991,1.15123199603268,0.0422925477682659,-0.32760858369823,0.378186952227064,0.255773847854008,-0.105555853375182,-0.779791127958961,-0.550640282714399,0.0250071945907297
"S04",40,"Female","Caucasian","Master","Italy",54.38665,0.0536833333333333,"Linux","1517x646",0.979982,"61.36",0,52.75,87.25,71.25,55.5,51,18.6008897424303,15,54,54.2,56.6,44,30.5811229844096,-0.191422168705506,-0.438227227832853,0.416723924398754,-0.214514481115626,0.436707935723846,-0.749932617028528,-0.672515247223677,-0.514135753858277,-0.616872884821429,-0.273176554187393,-0.12415390640093
"S05",54,"Male","Caucasian","Bachelor","Italy",65.2620833333333,0.0953,"Windows 10","1536x722",1.108992,"60.06",78.75,80.75,42,79.75,45.25,73.5,15.3703775002104,20.4,10.6,4.2,27,5.4,11.2337124798838,-0.623787603956585,0.738291645729136,-0.221764610048259,0.116589147161867,1.31036764524718,-0.967438301003922,0.730377048992966,0.0752020544621398,0.846843231202888,-0.598318178036582,0.109665614858216
"S06",30,"Male","Caucasian","High School","USA",43.6192166666667,0.02425,"Windows 10","1360x601",0.81736,"60.06",19.75,41.5,0,81.25,96.5,40.5,20.5734485356709,23.6,70.4,0,4,38,13.1365515266754,-1.10505508821339,-0.026467621957792,0.390712877393377,0.435753911265054,0.875357355029687,1.284393017981,0.630904869180155,0.393616337731592,0.945671431377655,-0.302148690613608,0.163598282533821
"S07",61,"Female","Caucasian","Bachelor","UK",81.0731,0.06195,"Linux","1280x661",0.84608,"60.48",39,95.75,4.25,100,89.25,97.5,7.95221831076611,1.4,30.8,0.4,10.8,1.6,11.6380675000358,1.49987840969125,1.46890648147676,1.38852938986386,1.41544628807919,1.49511238862224,0.711555896871427,1.3031675590551,0.335716828128267,0.130268560784121,0.115603117396128,0.410751444225927
"S08",29,"Male","Other","Bachelor","Finland",51.3114666666667,0.212783333333333,"Windows 10","1600x734",1.1744,"58.92",32.5,53.25,52.25,52.5,34.25,58,13.8329615378184,50,52.6,55.8,45.6,55,13.5691424255881,-0.750569547026702,0.300836820914782,-0.358633247888866,-0.00615259429119821,-1.0399845161639,-0.8683621499394,-0.0423702268467117,0.344243648178232,-0.0668473903654317,1.51222276284492,0.00150632121863989
"S09",29,"Female","Caucasian","High School","USA",50.382,0.0219833333333333,"Windows 10","1920x937",1.79904,"60.07",51.75,45,38.75,57.5,71,71.25,28.1571735751628,40.8,24,67.8,36.2,45.8,21.1572127176567,-0.641733758367837,0.606266268461437,-0.54428168853256,-0.160446190207182,0.83607942753121,-1.85427082566372,0.730195775235675,-0.255303468047372,0.262877218642005,0.553861867860082,0.0348981576643923
"S10",22,"Male","Latino","Bachelor","Mexico",47.9041666666667,0.0317833333333333,"Windows 10","1920x969",1.86048,"60.02",34.25,42.5,21.5,60.25,76.25,100,21.5502872031358,30.8,40.2,40.4,7.8,21.8,18.0009985376749,-0.478970474891414,0.0521395423766529,-0.646799873898441,0.55391181263553,0.668803354354415,0.868012322843762,0.644289746444726,0.833521100367517,0.118291500116819,-1.3012164010597,0.154418166650516
